itemName,price
butter,15.00
bread,20.00
chips,18.00
deodorant,13.00
paper towels,25.49
milk,12.50
rye bread,22.00
eggs,28.00
cheese,45.00
coffee,55.00
tea,24.00
sugar,15.00
flour,14.50
pasta,11.00
rice,19.95
tomato sauce,16.50
olive oil,49.00
ketchup,17.25
mustard,13.00
chocolate,20.00
biscuits,16.75
orange juice,21.00
soda,10.50
toiletpaper,34.00
dish soap,29.50
toothpaste,23.00
shampoo,42.00
fufu,35.00
plantain,18.50
cassava,22.00
yam,28.00
egusi,32.00
palm oil,40.00
groundnut,25.00
suya spice,20.00
okra,17.00
black-eyed peas,19.50
millet,24.00
tamarind,16.00
scotch bonnet pepper,12.00
dried fish,55.00
cassava flour,26.00
gari,21.00
hibiscus,18.00
tigernut,22.50
bitter leaf,20.00
shea butter,45.50
cocoyam,24.50
attieke,30.00
banku mix,28.50
